Epoch: 76/200 | Val loss: 0.7697 | Val acc: 0.7857 | Train loss: 0.6361 | Train acc: 0.8793
Epoch: 77/200 | Val loss: 0.7673 | Val acc: 0.7857 | Train loss: 0.5983 | Train acc: 0.8879
Epoch: 78/200 | Val loss: 0.7681 | Val acc: 0.7857 | Train loss: 0.6184 | Train acc: 0.8879
Epoch: 79/200 | Val loss: 0.7666 | Val acc: 0.7857 | Train loss: 0.5640 | Train acc: 0.9052
Epoch: 80/200 | Val loss: 0.7589 | Val acc: 0.7857 | Train loss: 0.5814 | Train acc: 0.9052
Epoch: 81/200 | Val loss: 0.7591 | Val acc: 0.7857 | Train loss: 0.5697 | Train acc: 0.9483
Epoch: 82/200 | Val loss: 0.7619 | Val acc: 0.7857 | Train loss: 0.5670 | Train acc: 0.9138
Epoch: 83/200 | Val loss: 0.7519 | Val acc: 0.7857 | Train loss: 0.5973 | Train acc: 0.9310
Epoch: 84/200 | Val loss: 0.7520 | Val acc: 0.7857 | Train loss: 0.5924 | Train acc: 0.9310
Epoch: 85/200 | Val loss: 0.7727 | Val acc: 0.7857 | Train loss: 0.5746 | Train acc: 0.9224
Epoch: 86/200 | Val loss: 0.7799 | Val acc: 0.7857 | Train loss: 0.6070 | Train acc: 0.8966
Epoch: 87/200 | Val loss: 0.7754 | Val acc: 0.7857 | Train loss: 0.5767 | Train acc: 0.9224
Epoch: 88/200 | Val loss: 0.7879 | Val acc: 0.7857 | Train loss: 0.5586 | Train acc: 0.9138
Epoch: 89/200 | Val loss: 0.7704 | Val acc: 0.7857 | Train loss: 0.5730 | Train acc: 0.9224
Epoch: 90/200 | Val loss: 0.7559 | Val acc: 0.7857 | Train loss: 0.5814 | Train acc: 0.8879
Epoch: 91/200 | Val loss: 0.7667 | Val acc: 0.7857 | Train loss: 0.5834 | Train acc: 0.9397
Epoch: 92/200 | Val loss: 0.7486 | Val acc: 0.7857 | Train loss: 0.5667 | Train acc: 0.9397
Epoch: 93/200 | Val loss: 0.7426 | Val acc: 0.7857 | Train loss: 0.5618 | Train acc: 0.9310
Epoch: 94/200 | Val loss: 0.7373 | Val acc: 0.8214 | Train loss: 0.5668 | Train acc: 0.9224
Epoch: 95/200 | Val loss: 0.7376 | Val acc: 0.8214 | Train loss: 0.5436 | Train acc: 0.9397
Epoch: 96/200 | Val loss: 0.7334 | Val acc: 0.7857 | Train loss: 0.5405 | Train acc: 0.9397
Epoch: 97/200 | Val loss: 0.7356 | Val acc: 0.7857 | Train loss: 0.6062 | Train acc: 0.9052
Epoch: 98/200 | Val loss: 0.7252 | Val acc: 0.8214 | Train loss: 0.5404 | Train acc: 0.9397
Epoch: 99/200 | Val loss: 0.7212 | Val acc: 0.8214 | Train loss: 0.5222 | Train acc: 0.9569
Epoch: 100/200 | Val loss: 0.7267 | Val acc: 0.8214 | Train loss: 0.5277 | Train acc: 0.9483
Epoch: 101/200 | Val loss: 0.7336 | Val acc: 0.8214 | Train loss: 0.5962 | Train acc: 0.8966
Epoch: 102/200 | Val loss: 0.7220 | Val acc: 0.8571 | Train loss: 0.5453 | Train acc: 0.9569
Epoch: 103/200 | Val loss: 0.7297 | Val acc: 0.7857 | Train loss: 0.5463 | Train acc: 0.9138
Epoch: 104/200 | Val loss: 0.7360 | Val acc: 0.8214 | Train loss: 0.5361 | Train acc: 0.9224
