number, value             , datetime_start            , datetime_complete         , duration              , params_base_model, params_heads, params_hidden_dim, params_learning_rate  , user_attrs_base_model, user_attrs_heads, user_attrs_hidden_dim, user_attrs_lr         , state
    52, 0.8554662814841564, 2026-03-17 06:12:53.470274, 2026-03-17 06:26:05.303440, 0 days 00:13:11.833166,                  ,            8,               128, 0.005312878969213936  ,                      ,                8,                   128, 0.005312878969213936  , COMPLETE
    53, 0.8288243673537791, 2026-03-17 06:26:05.303440, 2026-03-17 06:40:28.842230, 0 days 00:14:23.538790,                  ,            8,               128, 0.004526099613737797  ,                      ,                8,                   128, 0.004526099613737797  , COMPLETE
    54, 0.8568365844681634, 2026-03-17 06:40:28.842230, 2026-03-17 06:54:29.415401, 0 days 00:14:00.573171,                  ,            4,               128, 0.005890243398976304  ,                      ,                4,                   128, 0.005890243398976304  , COMPLETE
    55, 0.8371386189568008, 2026-03-17 06:54:29.416402, 2026-03-17 07:08:28.982059, 0 days 00:13:59.565657,                  ,            8,               128, 0.00396361990974539   ,                      ,                8,                   128, 0.00396361990974539   , COMPLETE
    56, 0.8207974481658693, 2026-03-17 07:08:28.983060, 2026-03-17 07:20:27.807783, 0 days 00:11:58.824723,                  ,            8,               128, 0.007186425442294142  ,                      ,                8,                   128, 0.007186425442294142  , COMPLETE
    57, 0.813872743059346 , 2026-03-17 07:20:27.808849, 2026-03-17 07:32:03.873922, 0 days 00:11:36.065073,                  ,            8,               512, 0.006297021062204598  ,                      ,                8,                   512, 0.006297021062204598  , COMPLETE
    58, 0.7514558169103625, 2026-03-17 07:32:03.873922, 2026-03-17 07:50:47.133151, 0 days 00:18:43.259229,                  ,            8,              1024, 0.004999074841435136  ,                      ,                8,                  1024, 0.004999074841435136  , COMPLETE
    59, 0.8090043290043291, 2026-03-17 07:50:47.133151, 2026-03-17 08:14:13.766976, 0 days 00:23:26.633825,                  ,            4,               128, 0.003620015230881138  ,                      ,                4,                   128, 0.003620015230881138  , COMPLETE
    60, 0.7392893285576212, 2026-03-17 08:14:13.766976, 2026-03-17 08:24:40.802195, 0 days 00:10:27.035219,                  ,            8,               128, 0.005777792318539682  ,                      ,                8,                   128, 0.005777792318539682  , COMPLETE
    61, 0.8264527629233511, 2026-03-17 08:24:40.802195, 2026-03-17 08:39:06.616888, 0 days 00:14:25.814693,                  ,            8,               128, 0.006645793814952296  ,                      ,                8,                   128, 0.006645793814952296  , COMPLETE
    62, 0.9083311520520823, 2026-03-17 08:39:06.616888, 2026-03-17 08:52:43.561111, 0 days 00:13:36.944223,                  ,            8,               128, 0.007087423490848015  ,                      ,                8,                   128, 0.007087423490848015  , COMPLETE
